Country/Region,Lat,Long,Count of Confirmed Cases,Overall Death Count,Overall Recovered Cases
Afghanistan,33,65,237,4,5
Albania,41.1533,20.1683,259,15,67
Algeria,28.0339,1.6596,847,58,61
Andorra,42.5063,1.5218,390,14,10
Angola,-11.2027,17.8739,8,2,1
Antigua and Barbuda,17.0608,-61.7964,7,0,0
Argentina,-38.4161,-63.6167,1054,28,248
Armenia,40.0691,45.0382,571,4,31
Australia,-35.4735,149.0124,84,20,422
Australia,-33.8688,151.2093,2182,20,422
Australia,-12.4634,130.8456,19,20,422
Australia,-28.0167,153.4,781,20,422
Australia,-34.9285,138.6007,367,20,422
Australia,-41.4545,145.9707,69,20,422
Australia,-37.8136,144.9631,968,20,422
Australia,-31.9505,115.8605,392,20,422
Austria,47.5162,14.5501,10711,146,1436
Azerbaijan,40.1431,47.5769,359,5,26
Bahamas,25.0343,-77.3963,21,1,1
Bahrain,26.0275,50.55,569,4,337
Bangladesh,23.685,90.3563,54,6,25
Barbados,13.1939,-59.5432,34,0,0
Belarus,53.7098,27.9534,163,2,53
Belgium,50.8333,4,13964,828,2132
Benin,9.3077,2.3158,13,0,1
Bhutan,27.5142,90.4336,4,0,0
Bolivia,-16.2902,-63.5887,115,7,1
Bosnia and Herzegovina,43.9159,17.6791,459,13,19
Brazil,-14.235,-51.9253,6836,240,127
Brunei,4.5353,114.7277,131,1,52
Bulgaria,42.7339,25.4858,422,10,20
Burkina Faso,12.2383,-1.5616,282,16,46
Cabo Verde,16.5388,-23.0418,6,1,0
Cambodia,11.55,104.9167,109,0,25
Cameroon,3.848,11.5021,233,6,10
Canada,53.9333,-116.5765,754,109,1324
Canada,49.2827,-123.1207,1013,109,1324
Canada,37.6489,-122.6655,13,109,1324
Canada,53.7609,-98.8139,127,109,1324
Canada,46.5653,-66.4619,81,109,1324
Canada,53.1355,-57.6604,175,109,1324
Canada,44.682,-63.7443,173,109,1324
Canada,51.2538,-85.3232,2392,109,1324
Canada,46.5107,-63.4168,21,109,1324
Canada,52.9399,-73.5491,4611,109,1324
Canada,52.9399,-106.4509,193,109,1324
Central African Republic,6.6111,20.9394,3,0,0
Chad,15.4542,18.7322,7,0,0
Chile,-35.6751,-71.543,3031,16,234
China,31.8257,117.2264,990,3316,76405
China,40.1824,116.4142,580,3316,76405
China,30.0572,107.874,579,3316,76405
China,26.0789,117.9874,345,3316,76405
China,37.8099,101.0583,138,3316,76405
China,23.3417,113.4244,1501,3316,76405
China,23.8298,108.7881,254,3316,76405
China,26.8154,106.8748,146,3316,76405
China,19.1959,109.7453,168,3316,76405
China,39.549,116.1306,323,3316,76405
China,47.862,127.7615,484,3316,76405
China,33.882,113.614,1276,3316,76405
China,22.3,114.2,765,3316,76405
China,30.9756,112.2707,67802,3316,76405
China,27.6104,111.7088,1018,3316,76405
China,44.0935,113.9448,111,3316,76405
China,32.9711,119.455,646,3316,76405
China,27.614,115.7221,937,3316,76405
China,43.6661,126.1923,98,3316,76405
China,41.2956,122.6085,140,3316,76405
China,22.1667,113.55,41,3316,76405
China,37.2692,106.1655,75,3316,76405
China,35.7452,95.9956,18,3316,76405
China,35.1917,108.8701,255,3316,76405
China,36.3427,118.1498,774,3316,76405
China,31.202,121.4491,516,3316,76405
China,37.5777,112.2922,137,3316,76405
China,30.6171,102.7103,552,3316,76405
China,39.3054,117.323,176,3316,76405
China,31.6927,88.0924,1,3316,76405
China,41.1129,85.2401,76,3316,76405
China,24.974,101.487,182,3316,76405
China,29.1832,120.0934,1257,3316,76405
Colombia,4.5709,-74.2973,1065,17,39
Congo (Brazzaville),-4.0383,21.7587,19,0,0
Congo (Kinshasa),-4.0383,21.7587,109,9,3
Costa Rica,9.7489,-83.7534,375,2,4
Cote d'Ivoire,7.54,-5.5471,190,1,9
Croatia,45.1,15.2,963,6,73
Diamond Princess,0,0,712,11,603
Cuba,22,-80,212,6,12
Cyprus,35.1264,33.4299,320,9,28
Czechia,49.8175,15.473,3508,39,61
Denmark,61.8926,-6.9118,173,104,971
Denmark,71.7069,-42.6043,10,104,971
Denmark,56.2639,9.5018,3107,104,971
Djibouti,11.8251,42.5903,33,0,0
Dominican Republic,18.7357,-70.1627,1284,57,9
Ecuador,-1.8312,-78.1834,2748,93,58
Egypt,26,30,779,52,179
El Salvador,13.7942,-88.8965,32,1,0
Equatorial Guinea,1.5,10,15,0,1
Eritrea,15.1794,39.7823,15,0,0
Estonia,58.5953,25.0136,779,5,33
Eswatini,-26.5225,31.4659,9,0,0
Ethiopia,9.145,40.4897,29,0,2
Fiji,-17.7134,178.065,5,0,0
Finland,64,26,1446,17,10
France,3.9339,-53.1258,51,4043,11053
France,-17.6797,149.4068,37,4043,11053
France,16.25,-61.5833,125,4043,11053
France,-12.8275,45.1662,94,4043,11053
France,-20.9043,165.618,16,4043,11053
France,-21.1351,55.2471,281,4043,11053
France,17.9,-62.8333,6,4043,11053
France,18.0708,-63.0501,15,4043,11053
France,14.6415,-61.0242,135,4043,11053
France,46.2276,2.2137,56989,4043,11053
Gabon,-0.8037,11.6094,18,1,0
Gambia,13.4432,-15.3101,4,1,2
Georgia,42.3154,43.3569,117,0,23
Germany,51,9,77872,920,18700
Ghana,7.9465,-1.0232,195,5,31
Greece,39.0742,21.8243,1415,50,52
Guatemala,15.7835,-90.2308,39,1,12
Guinea,9.9456,-9.6966,30,0,0
Guyana,5,-58.75,19,2,0
Haiti,18.9712,-72.2852,16,0,1
Holy See,41.9029,12.4534,6,0,0
Honduras,15.2,-86.2419,172,10,3
Hungary,47.1625,19.5033,525,20,40
Iceland,64.9631,-19.0208,1220,2,225
India,21,78,1998,58,148
Indonesia,-0.7893,113.9213,1677,157,103
Iran,32,53,47593,3036,15473
Iraq,33,44,728,52,182
Ireland,53.1424,-7.6921,3447,85,5
Israel,31,35,6092,26,241
Italy,43,12,110574,13155,16847
Jamaica,18.1096,-77.2975,44,3,2
Japan,36,138,2178,57,472
Jordan,31.24,36.51,278,5,36
Kazakhstan,48.0196,66.9237,380,3,26
Kenya,-0.0236,37.9062,81,1,3
"Korea, South",36,128,9887,165,5567
Kuwait,29.5,47.75,317,0,80
Kyrgyzstan,41.2044,74.7661,111,0,3
Latvia,56.8796,24.6032,446,0,1
Lebanon,33.8547,35.8623,479,14,43
Liberia,6.4281,-9.4295,6,0,0
